epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,271.049,1.00308,0.79441,1.1612,0.80812,0.7217,0.8315,0.46834,1.63628,1.14545,1.76229,0.000625062,0.000625062,0.000625062
103,273.332,1.08392,0.90253,1.26601,0.77503,0.82002,0.83359,0.47831,1.60398,1.17406,1.7123,0.000618875,0.000618875,0.000618875
104,275.619,1.03249,0.89821,1.2027,0.73029,0.81253,0.8322,0.45892,1.5812,1.1704,1.72993,0.000612687,0.000612687,0.000612687
105,278.209,1.02456,0.83105,1.21918,0.8179,0.70292,0.83453,0.46426,1.56405,1.10892,1.74864,0.0006065,0.0006065,0.0006065
106,280.617,1.05505,0.84911,1.22688,0.74708,0.85542,0.85855,0.47843,1.59872,1.05419,1.7869,0.000600313,0.000600313,0.000600313
107,282.951,1.00637,0.84931,1.2053,0.94617,0.69352,0.83986,0.45625,1.63194,1.10473,1.79747,0.000594125,0.000594125,0.000594125
108,285.216,1.00612,0.87916,1.21264,0.90011,0.67051,0.84724,0.46804,1.63923,1.10906,1.8007,0.000587938,0.000587938,0.000587938
109,287.417,1.06373,0.87833,1.21745,0.80679,0.77156,0.85616,0.48024,1.55445,1.11346,1.73159,0.00058175,0.00058175,0.00058175
110,289.846,1.01173,0.84095,1.19044,0.82005,0.8234,0.85351,0.48242,1.58079,1.09632,1.78091,0.000575563,0.000575563,0.000575563
111,292.249,1.02005,0.79206,1.20695,0.872,0.72982,0.84513,0.48584,1.62946,1.13047,1.8592,0.000569375,0.000569375,0.000569375
112,294.572,0.98765,0.82819,1.18315,0.79246,0.81525,0.85179,0.46683,1.6508,1.08179,1.8336,0.000563187,0.000563187,0.000563187
113,297.007,0.95385,0.79523,1.19396,0.75912,0.8023,0.85667,0.45677,1.64381,1.06741,1.83166,0.000557,0.000557,0.000557
114,299.308,0.97999,0.82814,1.19119,0.74882,0.85942,0.84968,0.4522,1.59664,1.09186,1.80092,0.000550813,0.000550813,0.000550813
115,301.747,1.05106,0.89604,1.21328,0.84186,0.76077,0.85598,0.45164,1.59458,1.08575,1.7721,0.000544625,0.000544625,0.000544625
116,304.25,1.00078,0.87802,1.20632,0.8213,0.76674,0.86368,0.49351,1.54493,0.96161,1.72273,0.000538438,0.000538438,0.000538438
117,306.611,0.97615,0.79719,1.18155,0.80668,0.825,0.87762,0.48499,1.57533,0.93997,1.7731,0.00053225,0.00053225,0.00053225
118,308.889,0.95529,0.83287,1.16812,0.86804,0.79791,0.87731,0.46942,1.59901,0.97727,1.83636,0.000526063,0.000526063,0.000526063
119,311.139,0.99314,0.79921,1.17495,0.86313,0.78898,0.87814,0.46246,1.66486,1.00901,1.83342,0.000519875,0.000519875,0.000519875
120,313.533,0.98416,0.78159,1.16401,0.9267,0.70352,0.86043,0.44156,1.6664,1.04914,1.81673,0.000513688,0.000513688,0.000513688
121,315.814,0.96566,0.76181,1.16405,0.79838,0.83636,0.85732,0.44569,1.67486,1.06494,1.83556,0.0005075,0.0005075,0.0005075
122,318.173,0.97972,0.80043,1.1773,0.90873,0.74743,0.85167,0.44702,1.67288,1.01245,1.83282,0.000501313,0.000501313,0.000501313
123,320.509,0.92762,0.76297,1.11854,0.94757,0.71513,0.84987,0.43587,1.61217,1.01913,1.76629,0.000495125,0.000495125,0.000495125
124,322.951,0.97091,0.78694,1.16085,0.79759,0.73838,0.83035,0.42585,1.63451,1.12217,1.76322,0.000488938,0.000488938,0.000488938
125,325.137,0.88813,0.72325,1.11707,0.71529,0.82161,0.84154,0.4527,1.60173,1.08897,1.7138,0.00048275,0.00048275,0.00048275
126,327.486,0.9097,0.75753,1.12237,0.89603,0.73178,0.8543,0.48364,1.5983,1.10336,1.76276,0.000476562,0.000476562,0.000476562
127,329.798,0.90405,0.74459,1.13465,0.95982,0.75884,0.87348,0.49302,1.6069,1.04636,1.79786,0.000470375,0.000470375,0.000470375
128,332.314,0.93787,0.74061,1.15094,0.93661,0.7836,0.88873,0.49347,1.63344,0.98728,1.84425,0.000464188,0.000464188,0.000464188
129,334.576,0.90699,0.77516,1.15958,0.89677,0.76202,0.88304,0.48764,1.62064,1.00957,1.81381,0.000458,0.000458,0.000458
130,336.932,1.00692,0.85621,1.18775,0.83332,0.76597,0.86545,0.47299,1.6191,1.02988,1.78275,0.000451813,0.000451813,0.000451813
131,339.277,0.91107,0.74685,1.13571,0.85344,0.74252,0.85284,0.4567,1.61766,1.08928,1.76177,0.000445625,0.000445625,0.000445625
132,341.484,0.96228,0.76353,1.15835,0.95864,0.72117,0.85798,0.48799,1.5309,1.03244,1.73785,0.000439437,0.000439437,0.000439437
133,343.92,0.92517,0.77992,1.15508,0.94569,0.73705,0.85681,0.48559,1.5669,1.04529,1.74193,0.00043325,0.00043325,0.00043325
134,346.224,0.93436,0.7709,1.16303,0.95301,0.69137,0.85806,0.48266,1.57091,1.0595,1.79197,0.000427062,0.000427062,0.000427062
135,348.396,0.95502,0.78442,1.15922,0.90218,0.70772,0.85826,0.47978,1.56619,1.04842,1.7721,0.000420875,0.000420875,0.000420875
136,350.855,0.85379,0.68766,1.09088,0.81162,0.76262,0.86033,0.46739,1.5537,0.98082,1.74922,0.000414688,0.000414688,0.000414688
